bh_no,Depth,easting,northing,R.L,Condition,UCS,RQD
1,8.25,276816.883,2114086.734,4.25,Soak ,8.52,0
1,11.25,276816.883,2114086.734,1.25,Soak ,29.61,39
1,14.25,276816.883,2114086.734,-1.75,Unsoak ,32.95,54
1,17.25,276816.883,2114086.734,-4.75,Soak ,14.7,23
1,20.25,276816.883,2114086.734,-7.75,Soak ,1.68,66
1,23.25,276816.883,2114086.734,-10.75,Unsoak ,35.46,76
3,6.75,276837.826,2114086.392,5.632,Unsoak ,49.28,0
3,9.75,276837.826,2114086.392,2.632,Soak ,20.89,31
3,12.75,276837.826,2114086.392,-0.368,Unsoak ,52.42,54
3,15.75,276837.826,2114086.392,-3.368,Soak ,20.67,80
3,18.75,276837.826,2114086.392,-6.368,Unsoak ,39.65,75
3,21.75,276837.826,2114086.392,-9.368,Soak ,55.45,85
2,9.75,276816.614,2114067.024,2.628,Unsoak ,27.82,0
2,17.5,276816.614,2114067.024,-4.872,Unsoak ,22.14,58
2,21.75,276816.614,2114067.024,-9.372,Soak ,23.35,27.33
2,24.75,276816.614,2114067.024,-12.372,Unsoak ,81.97,66.66
4,11.25,276816.265,2114148.1,1.22,Unsoak ,16.47,0
4,17.25,276816.265,2114148.1,-4.78,Soak ,13.19,48.6
4,20,276816.265,2114148.1,-6.28,Unsoak ,17.25,24
4,23.25,276816.265,2114148.1,-10.78,Unsoak ,51.55,43.3
5,11.25,276836.204,2114134.853,2.753,Unsoak,57.041,43
5,14.25,276836.204,2114134.853,-0.247,Soak,12.501,27
5,17.25,276836.204,2114134.853,-3.25,Unsoak,60.831,31
5,20.25,276836.204,2114134.853,-6.25,Soak,31.44,63
5,8.25,276836.204,2114134.853,5.753,Unsoak,31.129,17
6,5,276839.386,2114224.899,8.4523,Soak ,21.61,7
6,13.5,276839.386,2114224.899,0.4523,Soak ,33.78,60.7
6,16.5,276839.386,2114224.899,-2.5477,Unsoak ,55.08,91.3
6,19.5,276839.386,2114224.899,-5.5477,Soak ,11.01,100
6,22.5,276839.386,2114224.899,-5.5477,Soak ,27.97,78
6,28,276839.386,2114224.899,-11.5477,Unsoak ,35.94,61.7
7,8.25,276808.779,2114221.537,4.2,Soak ,13.39,69.3
7,12.75,276808.779,2114221.537,-0.3,Soak ,7.24,82
7,14.25,276808.779,2114221.537,-1.8,Unsoak ,33.88,100
7,18.75,276808.779,2114221.537,-6.3,Soak ,38.66,76
7,21.75,276808.779,2114221.537,-9.3,Unsoak ,25.33,68.7
7,23.25,276808.779,2114221.537,-10.8,Soak ,13.63,54
7,26.25,276808.779,2114221.537,-13.8,Soak ,20.87,88
8,6.75,276813.1116,2114252.22,5.539,Soak ,6.61,39.3
8,8.25,276813.1116,2114252.22,4.039,Unsoak ,30.55,82
8,12,276813.1116,2114252.22,1.039,Soak ,9.47,91.3
8,16.5,276813.1116,2114252.22,-3.461,Unsoak ,25.85,98
8,18.75,276813.1116,2114252.22,-6.461,Soak ,87.32,74.7
8,22.5,276813.1116,2114252.22,-9.461,Unsoak ,17.04,97
8,25.25,276813.1116,2114252.22,-12.461,Soak ,10.48,86.4
9,3.2,276838.579,2114266.254,9.348,Soak ,16.86,64
9,4.45,276838.579,2114266.254,8.248,Unsoak ,42.21,63.3
9,9.7,276838.579,2114266.254,3.748,Soak ,29.43,64.3
9,12.7,276838.579,2114266.254,0.748,Unsoak ,25.44,89
9,15.7,276838.579,2114266.254,-2.252,Soak ,15.92,35
9,21.7,276838.579,2114266.254,-8.252,Unsoak ,30.82,73.7
9,24.7,276838.579,2114266.254,-11.252,Soak ,5.8,67.6
9,27.7,276838.579,2114266.254,-14.252,Unsoak ,22.75,72.7
10,4.5,276831.7273,2114302.457,9.5207,Soak ,25.47,70.3
10,10.5,276831.7273,2114302.457,3.5207,Unsoak ,39.42,86
10,16.5,276831.7273,2114302.457,-2.4793,Soak ,21.16,81
10,19.5,276831.7273,2114302.457,-5.4793,Unsoak ,62.64,64
10,22.5,276831.7273,2114302.457,-8.4793,Soak ,1.78,79.7
10,25,276831.7273,2114302.457,-11.4793,Unsoak ,42.32,74
10,27.5,276831.7273,2114302.457,-13.4793,Unsoak ,40.76,80
